BusinessAddress,BusinessName,BusinessPhone,BusinessStartDate,BusinessType,BusinessLicenseNumber,City,OwnerName,State,StreetDirection,StreetName,StreetNumber,StreetSuffix,Suite,Zip,LocationX,LocationY,Latitude,Longitude,Location
888 HARRISON AVE,THE STEAK KNIFE RESTAURANT,504-488-8981,1991-12-01,Full Service Restaurants(table service available),101543510,NEW ORLEANS,STEAK KNIFE INC,LA,,HARRISON,888,AVE,,70124-3157,3669932.72,549019.84,30.00396044762258,-90.10400288071563,POINT (-90.10400288071563 30.00396044762258)
4714 FRERET ST,,(504) 256-7815,2025-03-17,Special Events-Other (Vendor),106020628,NEW ORLEANS,CHI CHI'S CHICKEN & BEER,LA,,FRERET,4714,ST,,70115-6321,3669319.97,523893.41,29.934889235100623,-90.10678836762175,POINT (-90.10678836762175 29.934889235100623)
401 ANDREW HIGGINS DR,LUCKY COIN MACHINE CO LLC,(504) 835-3232,2025-02-27,Video Draw Poker Devices,106058893,NEW ORLEANS,LUCKY COIN MACHINE CO LLC,LA,,ANDREW HIGGINS,401,DR,,70130-3811,3681604.69,526792.89,29.942494542865976,-90.06790459192676,POINT (-90.06790459192676 29.942494542865976)
3901 GENERAL DEGAULLE DR,,561-627-3365,2023-01-01,Cellular & Other Wireless Telecommunications,105065842,NEW ORLEANS,"NEW CINGULAR WIRELESS PCS, LLC",LA,,GENERAL DEGAULLE,3901,DR,,70114-8209,3698442.43,519161.76,29.92098952375081,-90.01502150799485,POINT (-90.01502150799485 29.92098952375081)
1517 SEACLIFFE DR,WAGESWARES,(228) 369-8546,2025-01-12,Special Events-Other (Vendor),106059917,GAUTIER,MICHAEL RICARD,MS,,SEACLIFFE,1517,DR,,39553-7531,0.0,0.0,0,0,POINT (0 0)
3022 HOLIDAY DR,BURLINGTON #1636,(609) 387-7800,2024-10-30,Family Clothing Stores,106047707,NEW ORLEANS,BURLINGTON COAT FACTORY WAREHO,LA,,HOLIDAY,3022,DR,,70131-8232,3699425.34,519806.65,29.922731619278988,-90.01189544863117,POINT (-90.01189544863117 29.922731619278988)
600 JACKSON AVE,,504 638 4512,2016-09-14,Taxi Service,105017982,NEW ORLEANS,ROCHEL OCCY,LA,,JACKSON,600,AVE,,70130-4936,3679900.48,520633.38,29.92560956215434,-90.0734989880454,POINT (-90.0734989880454 29.92560956215434)
1200 N PETERS ST,HEAVENS MOISTURE,(404) 416-4349,2024-12-13,Flea Market,106045972,NEW ORLEANS,AQUEELAH MUHAMMAD,LA,N,PETERS,1200,ST,,70116-2631,3684590.01,533137.39,29.959848769517027,-90.05825636718689,POINT (-90.05825636718689 29.959848769517027)
850 SAMS AVE,ACE GARAGE DOOR CO.,(504) 231-2132,2025-04-01,Special Events-Other (Vendor),106063124,ELMWOOD,ETHAN MICHLER,LA,,SAMS,850,AVE,,70123-3146,0.0,0.0,0,0,POINT (0 0)
713 SAINT LOUIS ST,"ANTOINE'S PROPERTY #1,LLC",504-913-5424,2012-09-25,"Commercial & Industrial Machinery & Equipment Rental & Leasing, Other",102910893,NEW ORLEANS,"ANTOINE'S PROPERTY #1, LLC",LA,,SAINT LOUIS,713,ST,,70130-2121,3682018.93,531975.99,29.956733734217348,-90.06641580891227,POINT (-90.06641580891227 29.956733734217348)
17 CLEMATIS ST,,781-721-5406,2007-04-24,Special Events-Jazz Fest (Vendor),102630823,WINCHESTER,VALERIE BUNNELL,MA,,CLEMATIS,17,ST,,01890-1205,0.0,0.0,0,0,POINT (0 0)
942 N RAMPART ST,MAMOU NOLA,504-508-5270,2022-01-01,Full Service Restaurants(table service available),105061501,NEW ORLEANS,MAMOU NOLA LLC,LA,N,RAMPART,942,ST,,70116-3011,3682082.12,534179.37,29.962790356137404,-90.06613933108922,POINT (-90.06613933108922 29.962790356137404)
2305 ALEX KORNMAN BLVD,PAISANO MIX,(504) 223-3133,2025-04-24,Mobile Food Services,106000657,HARVEY,ERLIN GOMEZ GARCIA,LA,,ALEX KORNMAN,2305,BLVD,,70058-6454,0.0,0.0,0,0,POINT (0 0)
5801 FRANCE RD,SEABROOK HARBOR,504-347-3290,2005-07-11,Boat Dealers & Marine Supplies,102537467,NEW ORLEANS,"SEABROOK HARBOR, LLC",LA,,FRANCE,5801,RD,,70126-2520,3692331.55,556426.93,30.023647409487747,-90.03297580171638,POINT (-90.03297580171638 30.023647409487747)
508 CHARTRES ST,HOTEL ST HELENE,(504) 756-3173,2025-05-06,Hotels(except Casino Hotels) & Motels,106043334,NEW ORLEANS,508 CHARTRES HOTEL LLC,LA,,CHARTRES,508,ST,,70130-2110,3682501.52,531697.2,29.955952476005965,-90.06490169122905,POINT (-90.06490169122905 29.955952476005965)
228 POYDRAS ST,,847-527-4672,2013-12-20,"Offices of Health Practitioners, All Other Miscellaneous",102980301,NEW ORLEANS,CAESAR'S NEW ORLEANS HEALTH &,LA,,POYDRAS,228,ST,,70130-1641,3682272.07,528907.95,29.94828996460992,-90.06572364897109,POINT (-90.06572364897109 29.94828996460992)
5913 BLESSEY STREET,OVERHEAD DOOR OF NEW ORLEANS,(504) 559-6065,2025-04-03,Special Events-Other (Vendor),106040174,NEW ORLEANS,OVERHEAD DOOR OF NEW ORLEANS,LA,,BLESSEY,5913,STREET,,70123-0000,0.0,0.0,0,0,POINT (0 0)
6024 ARGONNE BLVD,VIDEO VENTURES BY ROXANNE INC,504-486-1000,1997-05-01,Motion Picture & Video Production,102050622,NEW ORLEANS,VIDEO VENTURES BY ROXANNINC,LA,,ARGONNE,6024,BLVD,,70124-3820,3670110.25,547352.17,29.999369697598492,-90.10349857762803,POINT (-90.10349857762803 29.999369697598492)
4310 S MIRO ST,MAGNOLIA VETERINARY CARDIOLOGY,504-329-2625,2019-01-01,Veterinary Services,105039243,NEW ORLEANS,MAGNOLIA VETERINARY CARDIOLOGY,LA,S,MIRO,4310,ST,,70125-4547,3670449.28,527815.74,29.945641083152726,-90.10309019143892,POINT (-90.10309019143892 29.945641083152726)
4226 MAGAZINE ST,MAGASIN,(504) 858-8487,2024-10-09,Special Events-Other (Vendor),106059647,NEW ORLEANS,MAGASIN,LA,,MAGAZINE,4226,ST,,70115-2735,3671581.52,518803.53,29.920826938153283,-90.09982164652806,POINT (-90.09982164652806 29.920826938153283)
2108 MAGAZINE ST,ELLE BOUTIQUE,504-522-4929,2015-02-01,Women's Clothing Stores,105001479,NEW ORLEANS,"DNF, LLC",LA,,MAGAZINE,2108,ST,,70130-5046,3679109.18,522223.75,29.930006458977214,-90.07594178995726,POINT (-90.07594178995726 29.930006458977214)
8021 GREEN ST,,5-041-865-9848,2021-01-01,"Accounting Services, Other",105056592,NEW ORLEANS,JWL REAL ESTATE LLC,LA,,GREEN,8021,ST,,70118-4118,3663346.08,529533.06,29.950570951100513,-90.12546027311576,POINT (-90.12546027311576 29.950570951100513)
300 N BROAD ST,,504-330-5369,2016-11-10,Child & Youth Services,105019462,NEW ORLEANS,LOOP NOLA,LA,N,BROAD,300,ST,207,70119-5578,3676178.53,535718.61,29.96720094529888,-90.08472915562491,POINT (-90.08472915562491 29.96720094529888)
530 S NORMAN C FRANCIS PKWY,"SUNCONNECT REAL ESTATE HOLDINGS, LLC",239-204-4010,2024-01-01,Electric Bulk Power Transmission and Control,105069375,NEW ORLEANS,SUNCONNECT REAL ESTATE HOLDING,LA,S,NORMAN C FRANCIS,530,PKWY,102,70119-7128,3672200.37,535165.98,29.965799994685003,-90.09731107804555,POINT (-90.09731107804555 29.965799994685003)
3511 MAGAZINE ST,IMPERIAL WOODPECKER SNO-BALLS,251-366-7777,2016-07-05,Limited Service Restaurants(no table service available),105016008,NEW ORLEANS,SWEET LOU'S NEW ORLEANS SNOBAL,LA,,MAGAZINE,3511,ST,C,70115-2542,3674347.2,519413.18,29.92242112463005,-90.09107078180138,POINT (-90.09107078180138 29.92242112463005)
5515 JACQUELYN COURT,POLLACK GLASS,(504) 723-8235,2025-04-27,Special Events-Other (Vendor),106026516,NEW ORLEANS,ANDREW POLLACK,LA,,JACQUELYN,5515,COURT,,70124-0000,3664663.06,544671.81,29.992159255976823,-90.12079608410835,POINT (-90.12079608410835 29.992159255976823)
2000 LAKESHORE DR,,504-941-7630,2019-01-01,"Social Advocacy Organizations, Other",105072222,NEW ORLEANS,SILENCE IS VIOLENCE,LA,,LAKESHORE,2000,DR,,70148-3520,3679823.55,558937.97,30.03093621782081,-90.07241123277609,POINT (-90.07241123277609 30.03093621782081)
4610 ORLEANS AVE,,504-812-8523,2022-02-03,Special Events-Other (Vendor),105057527,NEW ORLEANS,BETSY BUT MAINLY GARCIA,LA,,ORLEANS,4610,AVE,,70119-4420,3670697.16,541504.04,29.9832720203997,-90.1018430609304,POINT (-90.1018430609304 29.9832720203997)
10010 I 10 SERVICE RD,PUBLIC STORAGE,504.717.2733,2015-11-01,Lessors of Miniwarehouses & Self Storage Units,105011553,NEW ORLEANS,"PS GULF COAST, LLC",LA,,10 SERVICE,10010,RD,,70127-2700,0.0,0.0,0,0,POINT (0 0)
4128 FRANKLIN AVE,HUMANITAS,504-283-8326,1998-07-28,Offices of Lawyers,102125932,NEW ORLEANS,"HUMANITAS, INC",LA,,FRANKLIN,4128,AVE,,70122-6008,3686844.11,548307.68,30.001492540446876,-90.050602163783,POINT (-90.050602163783 30.001492540446876)
7 BAMBOO RD,LONGUE VUE HOUSE AND GARDENS CORP,504-488-5488,2022-01-01,Full Service Restaurants(table service available),105062739,NEW ORLEANS,LONGUE VUE HOUSE AND GARDENS,LA,,BAMBOO,7,RD,,70124-1007,3663491.97,539394.53,29.97768253240086,-90.12467117941381,POINT (-90.12467117941381 29.97768253240086)
10552 S WESTERN AVE,CLIFTON HENRI PHOTOGRAPHY,,2008-07-08,Special Events-Essence Fest (Vendor),102697219,CHICAGO,CLIFTON PHOTOGRAPHY,IL,S,WESTERN,10552,AVE,,60643-2528,0.0,0.0,0,0,POINT (0 0)
2004 S SALCEDO ST,MONARCH LIGHT LLC,(504) 493-4328,2025-01-03,Electrical Contractors,106024956,NEW ORLEANS,MONARCH LIGHT LLC,LA,S,SALCEDO,2004,ST,,70125-3644,3669656.81,529540.21,29.950406184226644,-90.1055339446901,POINT (-90.1055339446901 29.950406184226644)
4449 MICHOUD BLVD,U-HAUL NEW ORLEANS            U HAUL CO OF SOUTHER,602-263-6745,1966-01-01,"Truck, Utility Trailer & RV (Recreational Vehicle) Rental & Leasing",100872536,NEW ORLEANS,U-HAUL CO OF LA INC,LA,,MICHOUD,4449,BLVD,,70129-2233,3726120.06,558423.43,30.028039347117517,-89.92613506070617,POINT (-89.92613506070617 30.028039347117517)
20-6334 DESANKA AVE,YANIMATOR ART,(416) 456-0092,2025-01-10,Special Events-Other (Vendor),106023707,NIAGARA FALLS,KEVIN YAN,AE,,,,,,00000-0000,0.0,0.0,0,0,POINT (0 0)
12000 LINCOLN BEACH BLVD,,225-888-6187,2020-01-01,Elementary & Secondary Schools,105046502,NEW ORLEANS,IDEA PUBLIC SCHOOLS NEW ORLEAN,LA,,LINCOLN BEACH,12000,BLVD,,70128-0000,3712819.67,569070.34,30.05775647604219,-89.96776205699778,POINT (-89.96776205699778 30.05775647604219)
625 PIRATES ALY,JUDI A APPELL,(970) 319-5216,2025-04-30,Artist-Painting on Streets,106024558,NEW ORLEANS,APPELL MS JUDI A,LA,,PIRATES,625,ALY,,70116-0000,0.0,0.0,0,0,POINT (0 0)
2401 BURGUNDY ST,WHO DAT COFFEE CAFE,504-872-0360,2014-12-29,Full Service Restaurants(table service available),105001022,NEW ORLEANS,"WHO DAT COFFEE CAFE, LLC",LA,,BURGUNDY,2401,ST,,70117-7829,3685861.36,535676.73,29.966792114650897,-90.05415221684586,POINT (-90.05415221684586 29.966792114650897)
1641 LOUISIANA AVE,LOUISIANA SUPER SAVER,504-891-6670,2001-06-15,Supermarket & Other Grocery(except Convenience) Stores,102307097,NEW ORLEANS,"AMERA,INC",LA,,LOUISIANA,1641,AVE,A,70115-4500,3674144.72,521863.15,29.929163787794714,-90.09162612394526,POINT (-90.09162612394526 29.929163787794714)
158 W MAIN ST,FAIR LADY GALLERY,(334) 498-6806,2025-01-30,Special Events-Other (Vendor),106026403,LAKELAND,BROOKLYNN SUMMERS,GA,W,MAIN,158,ST,,31635-6865,0.0,0.0,0,0,POINT (0 0)
1430 TULANE AVE,TULANE DOWNTOWN HUTCHINSON CAFETERIA,(504) 000-0000,2025-01-06,Caterers,106064484,NEW ORLEANS,ARAMARK EDUCATIONAL SERVICES L,LA,,TULANE,1430,AVE,,70112-2632,3678753.76,531400.52,29.955250249728238,-90.07674609713017,POINT (-90.07674609713017 29.955250249728238)
3412 TOURO ST,DS LEMONADE,504-914-9107,2019-07-19,Special Events-Other (Vendor),105042106,NEW ORLEANS,LEMONDEISH LLC,LA,,TOURO,3412,ST,,70122-3735,3683466.5,545210.46,29.993079827726522,-90.06138095709888,POINT (-90.06138095709888 29.993079827726522)
900 CAMP ST,,334-271-3200,2023-01-01,Architectural Services,105069164,NEW ORLEANS,"GOODWYN MILLS CAWOOD, LLC",LA,,CAMP,900,ST,438,70130-0000,0.0,0.0,0,0,POINT (0 0)
4323 CRESTRIDGE LN,CALVIN WALTON,,2003-12-01,Special Events-Jazz Fest (Vendor),102428781,STONE MOUNTAIN,"WALTON,CALVIN",GA,,CRESTRIDGE,4323,LN,,30083-6103,0.0,0.0,0,0,POINT (0 0)
3731 RUE RENEE CT.,,(504) 669-8773,2025-04-01,Coffee and Tea Manufacturing,106037614,NEW ORLEANS,BOONA BUNA ETHIOPIAN SPECIALTY,LA,,RENEE,3731,CT.,,70131-0000,0.0,0.0,0,0,POINT (0 0)
2036 MAGAZINE ST,KIM STARR WISE FLORAL EVENTS,504-315-5607,2020-01-01,Florists,105048502,NEW ORLEANS,KIM STARR WISE LLC,LA,,MAGAZINE,2036,ST,,70130-5018,3679315.51,522375.8,29.93041831929551,-90.07528517049515,POINT (-90.07528517049515 29.93041831929551)
1200 N PETERS ST,NIRMALA MANSINGHANI,504-245-0773,1990-10-01,Flea Market,101466001,NEW ORLEANS,"MANSINGHANI,NIRMALA",LA,N,PETERS,1200,ST,,70116-2631,3684590.01,533137.39,29.959848769517027,-90.05825636718689,POINT (-90.05825636718689 29.959848769517027)
523 DUMAINE ST,NEW ORLEANS PLAYING CARD COMPANY,312-520-8839,2023-01-01,Art Dealers,105064070,NEW ORLEANS,NOLAPCC LLC,LA,,DUMAINE,523,ST,2,70116-3394,3683459.44,532727.79,29.958757054287503,-90.06184080385526,POINT (-90.06184080385526 29.958757054287503)
821 GRAVIER ST,HILTON GARDEN INN FRENCH QUATER/CBD,412-456-2123,2019-01-01,Full Service Restaurants(table service available),105044749,NEW ORLEANS,"MHF NOLA MANAGER VI, LLC",LA,,GRAVIER,821,ST,,70112,3680309.65,530352.32,29.952321045068853,-90.07186960863604,POINT (-90.07186960863604 29.952321045068853)
848 BARONNE ST,,(920) 285-9254,2025-03-06,Beauty Salons,106021696,NEW ORLEANS,CRYBABYHAIR LLC,LA,,BARONNE,848,ST,,70113-1103,3679525.03,527736.27,29.945151511697222,-90.074437829889,POINT (-90.074437829889 29.945151511697222)
2734 PRYTANIA ST,LATTER & BLUM,504-525-1311,1999-06-02,Real Estate Agents and Brokers,102183355,NEW ORLEANS,PENICK ROBERT,LA,,PRYTANIA,2734,ST,,70130-5906,3676274.55,522088.23,29.929719049740967,-90.08489491430663,POINT (-90.08489491430663 29.929719049740967)
5620 READ BLVD,,,2015-06-01,General Medical & Surgical Hospitals,105006123,NEW ORLEANS,LCMC NEW ORLEANS EAST HOSPITAL,LA,,READ,5620,BLVD,,70127-3106,3710490.61,558508.85,30.02879273064591,-89.97551945354468,POINT (-89.97551945354468 30.02879273064591)
13900 CHEF MENTEUR HWY,BAC OF NEW ORLEANS,504-908-0150,2004-09-15,Used Car Dealers,102503929,NEW ORLEANS,BAC OF NEW ORLEANS INC,LA,,CHEF MENTEUR,13900,HWY,,70129-2005,3728014.32,560176.28,30.03279486235666,-89.92008109748265,POINT (-89.92008109748265 30.03279486235666)
609 METAIRIE RD,SQUEEGEE SQUAD,(504) 616-0683,2025-03-28,Special Events-Other (Vendor),106056606,METAIRIE,RYAN DALE,LA,,METAIRIE,609,RD,,70005-4034,0.0,0.0,0,0,POINT (0 0)
13900 CHEF MENTEUR HWY,BAC OF NEW ORLEANS,504-908-0150,2004-09-15,"Automotive Repair & Maintenance, All Other",102503911,NEW ORLEANS,BAC OF NEW ORLEANS INC,LA,,CHEF MENTEUR,13900,HWY,,70129-2005,3728014.32,560176.28,30.03279486235666,-89.92008109748265,POINT (-89.92008109748265 30.03279486235666)
2483 ROYAL ST,SCHIRO'S SUPER FOOD STORE,504-945-4425,1986-02-28,Full Service Restaurants(table service available),101265188,NEW ORLEANS,SCHIRO'S SUPER FOOD STORE INC,LA,,ROYAL,2483,ST,,70117-7845,3686561.68,535009.76,29.96493666299803,-90.05196416726191,POINT (-90.05196416726191 29.96493666299803)
5233 CONTI ST,,(315) 857-4341,2025-05-22,Baked Goods Stores,106002698,NEW ORLEANS,ULTRA VALUE BREAD LLC,LA,,CONTI,5233,ST,,70124-1721,3668423.51,541882.06,29.98437844175331,-90.10901169319055,POINT (-90.10901169319055 29.98437844175331)
6008 BURGUNDY ST,INK IT COMICS,,2016-01-10,Special Events-Other (Vendor),105012029,NEW ORLEANS,TREVOR SCOTT,LA,,BURGUNDY,6008,ST,,70117-2138,3698923.8,532626.12,29.957996591088463,-90.01301232419432,POINT (-90.01301232419432 29.957996591088463)
1632 ORETHA CASTLE HALEY BLVD,FRERET ST BOXING,504-895-1859,2013-12-01,Sports Teams & Clubs,102938844,NEW ORLEANS,MIKE TATA,LA,,ORETHA CASTLE HALEY,1632,BLVD,,70113-1311,3677772.02,525747.52,29.93973594898012,-90.08004131225906,POINT (-90.08004131225906 29.93973594898012)
2301 ORLEANS AVE,DOOKY CHASE RESTURANT,,1976-01-01,Full Service Restaurants(table service available),101027104,NEW ORLEANS,DOOKY CHASE INC,LA,,ORLEANS,2301,AVE,,70119-5025,3678147.66,536062.8,29.96808820326227,-90.0784987173076,POINT (-90.0784987173076 29.96808820326227)
5855 LOUIS PRIMA DR W,,504-641-3400,2020-01-01,"Photography Studios, Portrait",105049088,NEW ORLEANS,PAPARAZZI CAM PHOTO BOOTH & PH,LA,,LOUIS PRIMA,5855,DR,,70128-2802,3715371.93,562939.38,30.040814957736323,-89.95992704332886,POINT (-89.95992704332886 30.040814957736323)
8687 MELROSE AVENUE,"WOLFGANG PUCK CATERING & EVENTS, LLC",(202) 365-4349,2025-02-07,Special Events-Other (Vendor),106056902,WEST HOLLYWOOD,WOLFGANG PUCK CATERING & EVENT,CA,,MELROSE,8687,AVENUE,B15,90069-0000,0.0,0.0,0,0,POINT (0 0)
3125 CALHOUN ST,,504-835-3232,1993-03-01,Video Draw Poker Devices,101645606,NEW ORLEANS,LUCKY COIN MACHINE,LA,,CALHOUN,3125,ST,,70125-4201,3667215.86,528244.0,29.946913720738436,-90.1132847985155,POINT (-90.1132847985155 29.946913720738436)
725 CONTI ST,TOUCAN GAMING LLC,(337) 534-4018,2025-01-16,Video Draw Poker Devices,106038157,NEW ORLEANS,TOUCAN GAMING LLC,LA,,CONTI,725,ST,,70130-2220,3681733.0,531746.36,29.956111019479394,-90.06732669479655,POINT (-90.06732669479655 29.956111019479394)
2139 BARONNE ST,NOLAVORE'S A LA CARTE MARKET,504-914-3161,2010-10-01,Caterers,102810856,NEW ORLEANS,NOLAVORE LLC,LA,,BARONNE,2139,ST,,70113-1515,3677019.22,524574.25,29.936532461434286,-90.08245844709198,POINT (-90.08245844709198 29.936532461434286)
2139 BARONNE ST,NOLAVORE'S A LA CARTE MARKET,504-914-3161,2010-10-01,Caterers,102810856,NEW ORLEANS,NOLAVORE LLC,LA,,BARONNE,2139,ST,,70113-1515,3677019.22,524574.25,29.936532461434286,-90.08245844709198,POINT (-90.08245844709198 29.936532461434286)
1150 MAGAZINE ST,MAGAZINE MERCHANT HOUSE,917-680-0806,2019-01-01,Furniture Stores,105037738,NEW ORLEANS,MAGAZINE MERCHANT HOUSE.LLC,LA,,MAGAZINE,1150,ST,,70130-4243,3680731.72,525866.57,29.93997395149921,-90.07069298369257,POINT (-90.07069298369257 29.93997395149921)
3512 BIENVILLE ST,LAOZI ICE CREAM,(504) 295-9184,2025-02-28,Special Events-Other (Vendor),106037190,NEW ORLEANS,LAOZI ICE CREAM,LA,,BIENVILLE,3512,ST,,70119-5201,3673173.51,537658.1,29.97262358366898,-90.09415281822153,POINT (-90.09415281822153 29.97262358366898)
7808 MAPLE ST,JAMILA'S CAFE,504-866-4366,1993-11-10,Full Service Restaurants(table service available),101698777,NEW ORLEANS,JAMILA'S INC,LA,,MAPLE,7808,ST,,70118-3961,3661753.23,526620.7,29.94260896497925,-90.13058622206674,POINT (-90.13058622206674 29.94260896497925)
3328 BIENVILLE ST,ROOSEVELT TAXI CAB,504-261-4131,2021-12-17,Taxi Service,105056689,NEW ORLEANS,ROOSEVELT BLAISE,LA,,BIENVILLE,3328,ST,,70119-5302,3673834.39,537157.49,29.971227407169405,-90.09208276220839,POINT (-90.09208276220839 29.971227407169405)
4330 LAINE AVE,,504-274-9513,2020-01-01,Taxi Service,105045730,NEW ORLEANS,CARDONA LLC,LA,,LAINE,4330,AVE,,70126-4526,3705837.47,553302.97,30.01462936896134,-89.99041586813578,POINT (-89.99041586813578 30.01462936896134)
1301 DECATUR ST,SASSY MAGICK,(504) 644-1588,2025-04-15,Special Events-Other (Vendor),106009532,NEW ORLEANS,SHANNON WILDE,LA,,DECATUR,1301,ST,,70116-2609,3684477.44,533761.47,29.961568219010005,-90.05858991362405,POINT (-90.05858991362405 29.961568219010005)
434 CHARTRES ST,HOVE' PARFUMERER,504-525-7827,1974-07-01,"Cosmetics, Beauty Supplies & Perfume Stores",100994194,NEW ORLEANS,HOVE' PARFUMERER LTD,LA,,CHARTRES,434,ST,,70130-2102,3682366.31,531581.77,29.95563919763014,-90.06533267073118,POINT (-90.06533267073118 29.95563919763014)
4422 SAINT CHARLES AVE,WATSON MEMORIALS TEACHING MINISTRIES,504-899-4400,2010-03-03,Child Day Care Services,102775171,NEW ORLEANS,WATSON MEMORIALS SPIRITUAL TEM,LA,,SAINT CHARLES,4422,AVE,,70115-4830,3670634.3,520735.71,29.92616782248062,-90.1027460941431,POINT (-90.1027460941431 29.92616782248062)
26825 SCHUBERT DR,KA7ART,(440) 654-7640,2025-01-09,Special Events-Other (Vendor),106034595,WESTLAKE,KENAN ALSABONY,OH,,SCHUBERT,26825,DR,,44145-2361,0.0,0.0,0,0,POINT (0 0)
4035 WASHINGTON AVE,HD AND ASSOCIATES,(504) 415-3112,2025-03-24,Electrical Contractors,106035566,NEW ORLEANS,"HD AND ASSOCIATES, LLC",LA,,WASHINGTON,4035,AVE,,70125-2935,3671181.84,529927.08,29.951424928789244,-90.10070554256572,POINT (-90.10070554256572 29.951424928789244)
1700 PAULINE ST,"NOTARY PARALEGAL, LLC",(504) 422-6677,2025-04-15,Offices of Notaries,106022420,NEW ORLEANS,"NOTARY PARALEGAL, LLC",LA,,PAULINE,1700,ST,,70117-5155,3691710.83,537773.94,29.972377847798445,-90.03560466809873,POINT (-90.03560466809873 29.972377847798445)
5570 PEPSI STREET,DYNAMIC AUDIO VIDEO,(504) 304-3434,2025-04-01,Special Events-Other (Vendor),106023680,NEW ORLEANS,DYNAMIC AUDIO VIDEO,LA,,PEPSI,5570,STREET,,70123-0000,0.0,0.0,0,0,POINT (0 0)
625 PIRATES ALY,CASA ROSA LLC,(504) 430-0107,2024-12-12,Artist-Painting on Streets,106055612,NEW ORLEANS,ELLEANOR ROSA,LA,,PIRATES,625,ALY,,70116-0000,0.0,0.0,0,0,POINT (0 0)
3157 GENTILLY BLVD 117,AYISYIN VISION,,2025-05-29,Special Events-Other (Vendor),105059298,NEW ORLEANS,MARC BIEN-AIME,LA,,GENTILLY,3157,BLVD,,70122,0.0,0.0,0,0,POINT (0 0)
